testScore	bodyLength	mountainRange	site
16.14730946	165.5485196	Bavarian	a
33.88618347	167.5593135	Bavarian	a
6.038332941	165.8829517	Bavarian	a
18.83882129	167.6855249	Bavarian	a
33.8623279	169.9596807	Bavarian	a
47.04324591	168.6887472	Bavarian	a
2.557890462	169.6193817	Bavarian	a
3.875730463	164.4162728	Bavarian	a
3.597529521	167.5104297	Bavarian	a
7.358564754	179.606068	Bavarian	a
40.40038616	174.4654852	Bavarian	a
37.79467814	164.7812478	Bavarian	a
22.96415236	172.5594668	Bavarian	a
3.282949428	179.0007743	Bavarian	a
18.44280114	175.9704091	Bavarian	a
16.28513065	170.8193187	Bavarian	a
20.10853686	170.0534398	Bavarian	a
20.24258963	171.0932718	Bavarian	a
26.61791119	166.9571182	Bavarian	a
18.46775404	169.7708317	Bavarian	a
46.43277822	177.1744436	Bavarian	b
20.48980395	170.6868505	Bavarian	b
18.45276701	176.7402672	Bavarian	b
20.48422948	182.921515	Bavarian	b
25.2012758	182.3539525	Bavarian	b
12.45363499	183.0819313	Bavarian	b
29.79512725	182.1753313	Bavarian	b
0	175.5122137	Bavarian	b
27.10772116	173.5323951	Bavarian	b
4.582095447	174.2216996	Bavarian	b
16.17675802	174.8399351	Bavarian	b
24.14801734	180.0634457	Bavarian	b
0.74291384	190.6409588	Bavarian	b
2.501824711	169.7087779	Bavarian	b
22.56301439	179.5743569	Bavarian	b
3.380430108	188.8472039	Bavarian	b
37.34032341	173.2164322	Bavarian	b
44.75108351	179.4239913	Bavarian	b
16.24916411	182.8767077	Bavarian	b
16.85241954	177.82055	Bavarian	b
10.82536052	191.9322152	Bavarian	c
20.46262142	185.6634414	Bavarian	c
36.4831356	188.224188	Bavarian	c
23.88316223	191.0762972	Bavarian	c
40.94881782	193.0720144	Bavarian	c
31.02904817	195.98165	Bavarian	c
23.63866671	185.5081277	Bavarian	c
24.38679641	191.7647472	Bavarian	c
23.94455038	184.0877927	Bavarian	c
30.11963933	193.0299285	Bavarian	c
14.01377579	193.2441459	Bavarian	c
28.38920414	187.5596646	Bavarian	c
59.63475581	192.8173674	Bavarian	c
19.09588064	192.8957911	Bavarian	c
38.23737418	189.0644148	Bavarian	c
27.0081432	190.6611123	Bavarian	c
52.36024757	197.7971633	Bavarian	c
21.3553336	186.3583927	Bavarian	c
31.53537946	196.1694599	Bavarian	c
41.73581083	188.3476105	Bavarian	c
28.79678487	200.4518306	Ligurian	a
34.16276531	202.6518694	Ligurian	a
82.1273426	204.0826204	Ligurian	a
58.69441216	205.1904028	Ligurian	a
23.37056553	201.4306689	Ligurian	a
51.06183641	199.2138714	Ligurian	a
43.36213882	203.2291598	Ligurian	a
28.07832382	197.3707903	Ligurian	a
45.27196908	197.7966825	Ligurian	a
45.9168229	199.6620064	Ligurian	a
29.83577228	208.7708277	Ligurian	a
52.41878783	199.6470087	Ligurian	a
53.44515439	198.6395736	Ligurian	a
36.35458046	193.3904581	Ligurian	a
47.75813798	196.7885373	Ligurian	a
44.11577147	195.7997268	Ligurian	a
55.65078074	205.007335	Ligurian	a
24.42787715	204.5745191	Ligurian	a
29.76244997	197.821003	Ligurian	a
35.48042348	202.9267917	Ligurian	a
50.98612865	209.769199	Ligurian	b
37.30849023	212.3001688	Ligurian	b
45.92866433	206.8002264	Ligurian	b
14.56563392	206.0291334	Ligurian	b
54.70112294	216.4534082	Ligurian	b
15.04281131	214.375613	Ligurian	b
34.43359879	206.7412391	Ligurian	b
31.56778978	201.7569338	Ligurian	b
51.78122573	212.9415295	Ligurian	b
38.94565084	209.9258209	Ligurian	b
53.86706139	210.8249888	Ligurian	b
29.41256803	213.8767095	Ligurian	b
47.26828344	218.6140446	Ligurian	b
47.65628541	210.8980754	Ligurian	b
32.99205539	208.8068918	Ligurian	b
34.00821752	213.5269776	Ligurian	b
49.62605987	214.3452445	Ligurian	b
51.49125024	212.429093	Ligurian	b
41.40474031	214.0022867	Ligurian	b
44.26974933	209.3735113	Ligurian	b
61.22757265	217.0455452	Ligurian	c
44.3479966	216.9197318	Ligurian	c
30.41185142	215.0328021	Ligurian	c
58.37905013	218.4580886	Ligurian	c
58.13052774	221.1151929	Ligurian	c
59.43246942	207.1896096	Ligurian	c
